Wl,Ex.1 ,Ex.2,Ex.3,Ex.4,Ex.5,Ex.6,Ex.7,Ex.8
608,0.058115207,0.048641934,0.017160586,0.006435076,0.017160586,0.018754002,0.017160586,0.99751333
609,0.059596807,0.050441634,0.017160586,0.006976794,0.017160586,0.016238128,0.017160586,0.997522001
610,0.061078407,0.052241335,0.017160586,0.007518512,0.017160586,0.013722255,0.017160586,0.997530672
611,0.059778626,0.05056507,0.017160586,0.008482719,0.017160586,0.014969281,0.017160586,0.997539343
612,0.058478845,0.048888805,0.017160586,0.009446927,0.017160586,0.016216307,0.017160586,0.997548015
613,0.057179064,0.04721254,0.017160586,0.010411134,0.017160586,0.017463334,0.017160586,0.997556686
614,0.055879284,0.045536275,0.017160586,0.011375342,0.017160586,0.01871036,0.017160586,0.997565357
615,0.054579503,0.04386001,0.017160586,0.012339549,0.017160586,0.019957386,0.017160586,0.997574028
616,0.053279722,0.042183745,0.017160586,0.013303757,0.017160586,0.021204413,0.017160586,0.997582699
617,0.051979941,0.040507481,0.017160586,0.014267964,0.017160586,0.022451439,0.017160586,0.99759137
618,0.050680161,0.038831216,0.017160586,0.015232171,0.017160586,0.023698465,0.017160586,0.997600041
619,0.04938038,0.037154951,0.017160586,0.016196379,0.017160586,0.024945492,0.017160586,0.997608713
620,0.048080599,0.035478686,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997617384
621,0.04811327,0.035258838,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997623789
622,0.04814594,0.03503899,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997630194
623,0.048178611,0.034819142,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997636599
624,0.048211281,0.034599295,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997643005
625,0.048243952,0.034379447,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.99764941
626,0.048276622,0.034159599,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997655815
627,0.048309293,0.033939751,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.99766222
628,0.048341963,0.033719903,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997668625
629,0.048374634,0.033500055,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997675031
